pitch_pk,pitcher,player_name,pitch_type,pitch_name,game_year,description,game_date,inning,inning_topbot,outs_when_up,balls,strikes,release_speed,release_spin_rate,release_pos_x,release_pos_z,release_extension,pfx_x,pfx_z,ivb,hb,ivb_abs,hb_abs,spin,expected_movement,movement_total,movement_over_expected,movement_gap,movement_sep,movement_angle,is_good_outcome,nastiness_raw,Nastiness_plus
592094_777139_61_2,592094,"Adam, Jason",SL,Slider,2025,swinging_strike,2025-07-11 00:00:00,8,Top,1,0,1,86.5,2702,-1.13,6.44,6.3,-0.02,-0.04,-0.48,-0.24,0.48,0.24,2702,1.351,0.5366563145999496,-0.8143436854000504,0.8143436854000504,0.288,-116.56505117707799,1,5.599318325717515,134.18768307199747
642100_777875_45_4,642100,"Speier, Gabe",SL,Slider,2025,swinging_strike,2025-05-17 00:00:00,6,Bot,0,1,2,82.7,2078,1.86,5.11,5.9,-0.13,-0.01,-0.12,-1.56,0.12,1.56,2078,1.039,1.5646085772486358,0.5256085772486359,0.5256085772486359,1.728,-175.6012946450045,1,5.59844311909399,134.17846210788053
656986_778124_36_4,656986,"Sousa, Bennett",SL,Slider,2025,swinging_strike,2025-04-29 00:00:00,5,Top,1,2,1,84.9,2266,1.08,6.46,6.6,-0.06,-0.06,-0.72,-0.72,0.72,0.72,2266,1.133,1.0182337649086284,-0.11476623509137163,0.11476623509137163,0.0,-135.0,1,5.596767589130577,134.16080913170987
650911_776821_8_1,650911,"Sánchez, Cristopher",SL,Slider,2025,called_strike,2025-08-08 00:00:00,1,Bot,1,0,0,84.8,2152,2.21,5.94,6.8,-0.01,-0.03,-0.36,-0.12,0.36,0.12,2152,1.076,0.3794733192202055,-0.6965266807797945,0.6965266807797945,0.288,-108.43494882292202,1,5.5961950006714405,134.15477647896986
682171_778534_40_1,682171,"Murfee, Penn",ST,Sweeper,2025,called_strike,2025-03-29 00:00:00,6,Top,1,0,0,78.4,2835,-4.09,3.96,6.4,2.09,0.07,0.8400000000000001,25.08,0.8400000000000001,25.08,2835,1.4175,25.094063042879284,23.676563042879284,23.676563042879284,29.087999999999997,1.9182803251468235,1,5.595768501584228,134.15028298832047
820862_778050_56_2,820862,"Fermin, José",SL,Slider,2025,called_strike,2025-05-04 00:00:00,7,Top,0,0,1,87.5,2583,-2.18,6.35,5.9,-0.08,-0.06,-0.72,-0.96,0.72,0.96,2583,1.2915,1.2,-0.09150000000000014,0.09150000000000014,0.288,-143.13010235415598,1,5.594498485360277,134.13690240627938
656849_778270_17_2,656849,"Peterson, David",SL,Slider,2025,swinging_strike,2025-04-18 00:00:00,3,Top,0,0,1,83.8,2337,2.39,6.01,7.2,-0.13,-0.02,-0.24,-1.56,0.24,1.56,2337,1.1685,1.5783535725559086,0.4098535725559085,0.4098535725559085,1.584,-171.2538377374448,1,5.590480040048334,134.09456504384252
676477_813070_63_6,676477,"Whitlock, Garrett",CH,Changeup,2025,swinging_strike,2025-10-01 00:00:00,8,Bot,0,2,2,84.2,2207,-1.11,5.51,7.0,-1.87,-0.09,-1.08,-22.44,1.08,22.44,2207,1.1035,22.46597427221887,21.36247427221887,21.36247427221887,25.631999999999998,-177.24457529949726,1,5.588398708007162,134.0726366356801
643410_777385_77_1,643410,"Leiter Jr., Mark",FS,Split-Finger,2025,called_strike,2025-06-24 00:00:00,10,Bot,2,0,0,84.9,614,-0.88,5.89,6.7,-0.04,-0.04,-0.48,-0.48,0.48,0.48,614,0.307,0.6788225099390857,0.37182250993908567,0.37182250993908567,0.0,-135.0,1,5.5873120457461996,134.06118782639754
669302_777035_2_6,669302,"Gilbert, Logan",SL,Slider,2025,swinging_strike,2025-07-22 00:00:00,1,Top,1,3,2,87.3,1846,-0.94,5.76,7.5,0.0,-0.01,-0.12,0.0,0.12,0.0,1846,0.923,0.12,-0.803,0.803,0.144,-90.0,1,5.578937676602147,133.97295750991717
656849_777489_45_5,656849,"Peterson, David",SL,Slider,2025,swinging_strike,2025-06-17 00:00:00,6,Bot,2,2,2,84.7,2278,2.29,6.22,7.3,-0.14,-0.01,-0.12,-1.6800000000000002,0.12,1.6800000000000002,2278,1.139,1.684280261714184,0.5452802617141841,0.5452802617141841,1.8719999999999999,-175.91438322002512,1,5.578331910862242,133.9665753094164
607455_777937_49_6,607455,"Banda, Anthony",SL,Slider,2025,swinging_strike,2025-05-13 00:00:00,6,Top,2,3,2,87.0,2275,3.13,5.26,6.0,-0.14,-0.01,-0.12,-1.6800000000000002,0.12,1.6800000000000002,2275,1.1375,1.684280261714184,0.5467802617141841,0.5467802617141841,1.8719999999999999,-175.91438322002512,1,5.578077126737411,133.96389096584602
571578_778143_3_8,571578,"Corbin, Patrick",SL,Slider,2025,swinging_strike,2025-04-28 00:00:00,1,Top,1,3,2,81.9,2239,2.56,6.15,6.9,-0.14,-0.01,-0.12,-1.6800000000000002,0.12,1.6800000000000002,2239,1.1195,1.684280261714184,0.5647802617141842,0.5647802617141842,1.8719999999999999,-175.91438322002512,1,5.575019871493155,133.93168046818082
694462_776738_47_5,694462,"Waldrep, Hurston",SL,Slider,2025,called_strike,2025-08-15 00:00:00,6,Bot,2,3,1,87.7,2290,-0.97,5.99,6.5,-0.04,-0.06,-0.72,-0.48,0.72,0.48,2290,1.145,0.8653323061113574,-0.27966769388864265,0.27966769388864265,0.288,-123.69006752597979,1,5.571395040972993,133.8934901354548
656730_813046_3_4,656730,"Megill, Trevor",KC,Knuckle Curve,2025,swinging_strike,2025-10-11 00:00:00,1,Top,2,2,1,87.7,2706,-0.06,6.46,6.3,-0.04,-0.06,-0.72,-0.48,0.72,0.48,2706,1.353,0.8653323061113574,-0.4876676938886426,0.4876676938886426,0.288,-123.69006752597979,1,5.571376377105784,133.89329349748934
669711_777856_52_2,669711,"Weissert, Greg",ST,Sweeper,2025,swinging_strike,2025-05-19 00:00:00,7,Top,1,0,1,78.5,2889,-2.63,4.45,5.6,2.17,0.6,7.199999999999999,26.04,7.199999999999999,26.04,2889,1.4445000000000001,27.017061276163993,25.57256127616399,25.57256127616399,22.608,15.455999070312142,1,5.571316388464668,133.89266147175704
660271_776839_9_3,660271,"Ohtani, Shohei",SL,Slider,2025,swinging_strike_blocked,2025-08-06 00:00:00,2,Top,2,0,2,90.9,2539,-2.25,5.97,6.6,-0.11,-0.05,-0.6000000000000001,-1.32,0.6000000000000001,1.32,2539,1.2695,1.4499655168313488,0.1804655168313487,0.1804655168313487,0.864,-155.55604521958347,1,5.570990992041186,133.88923317418244
620454_776203_59_1,620454,"Castillo, José",SL,Slider,2025,called_strike,2025-09-24 00:00:00,8,Top,1,0,0,83.3,2461,2.92,6.1,6.3,-0.13,-0.03,-0.36,-1.56,0.36,1.56,2461,1.2305,1.60099968769516,0.37049968769516006,0.37049968769516006,1.4400000000000002,-167.0053832080835,1,5.5698197069719795,133.87689279957425
678606_776570_57_3,678606,"Ferrer, Jose A.",SL,Slider,2025,swinging_strike,2025-08-27 00:00:00,6,Bot,0,1,1,89.5,2460,3.44,5.74,5.7,-0.13,-0.03,-0.36,-1.56,0.36,1.56,2460,1.23,1.60099968769516,0.37099968769516,0.37099968769516,1.4400000000000002,-167.0053832080835,1,5.569733912962041,133.87598889475242
680729_778101_73_1,680729,"McDaniels, Garrett",SL,Slider,2025,swinging_strike,2025-05-01 00:00:00,9,Top,1,0,0,84.6,2491,1.56,6.14,5.8,-0.06,-0.07,-0.8400000000000001,-0.72,0.8400000000000001,0.72,2491,1.2455,1.1063453348751466,-0.13915466512485342,0.13915466512485342,0.14400000000000013,-130.6012946450045,1,5.561234115067587,133.78643709146473
571510_813050_27_5,571510,"Boyd, Matthew",SL,Slider,2025,swinging_strike,2025-10-09 00:00:00,4,Top,0,2,2,82.5,2533,2.92,4.95,6.0,-0.1,-0.06,-0.72,-1.2000000000000002,0.72,1.2000000000000002,2533,1.2665,1.3994284547628721,0.13292845476287218,0.13292845476287218,0.5760000000000002,-149.03624346792648,1,5.559977789715574,133.77320075312045
657240_778205_66_1,657240,"Merryweather, Julian",SL,Slider,2025,called_strike,2025-04-23 00:00:00,8,Top,0,0,0,84.0,2054,-1.57,6.28,6.4,-0.01,-0.04,-0.48,-0.12,0.48,0.12,2054,1.027,0.49477267507411926,-0.5322273249258807,0.5322273249258807,0.432,-104.03624346792648,1,5.559631434148694,133.7695516351087
676974_778519_26_2,676974,"Meyer, Max",SL,Slider,2025,swinging_strike,2025-03-30 00:00:00,4,Top,2,1,0,90.8,2604,-1.12,5.65,6.5,-0.01,-0.04,-0.48,-0.12,0.48,0.12,2604,1.302,0.49477267507411926,-0.8072273249258808,0.8072273249258808,0.432,-104.03624346792648,1,5.559606753632358,133.7692916071914
656986_776835_57_2,656986,"Sousa, Bennett",SL,Slider,2025,swinging_strike,2025-08-08 00:00:00,7,Bot,1,1,0,84.8,2335,1.12,6.37,6.5,-0.12,-0.04,-0.48,-1.44,0.48,1.44,2335,1.1675,1.517893276880822,0.350393276880822,0.350393276880822,1.152,-161.565051177078,1,5.558679862440615,133.75952610703447
607455_777946_47_6,607455,"Banda, Anthony",SL,Slider,2025,foul_tip,2025-05-15 00:00:00,5,Top,0,3,2,86.7,2244,2.95,5.28,6.1,0.0,-0.02,-0.24,0.0,0.24,0.0,2244,1.122,0.24,-0.8820000000000001,0.8820000000000001,0.288,-90.0,1,5.557404166047975,133.74608568011763
693821_776921_51_1,693821,"Elder, Bryce",SL,Slider,2025,called_strike,2025-08-01 00:00:00,7,Bot,1,0,0,83.5,2629,-0.92,6.42,6.1,0.0,-0.02,-0.24,0.0,0.24,0.0,2629,1.3145,0.24,-1.0745,1.0745,0.288,-90.0,1,5.557386891242887,133.7459036769728
656550_777803_40_2,656550,"Holmes, Grant",SL,Slider,2025,swinging_strike,2025-05-24 00:00:00,5,Top,0,0,1,84.5,2819,-2.57,5.96,6.0,0.0,-0.02,-0.24,0.0,0.24,0.0,2819,1.4095,0.24,-1.1695,1.1695,0.288,-90.0,1,5.557378366014602,133.7458138572411
622491_777774_53_4,622491,"Castillo, Luis",SL,Slider,2025,called_strike,2025-05-25 00:00:00,6,Bot,2,2,1,86.0,2291,-2.01,4.99,5.4,-0.12,-0.04,-0.48,-1.44,0.48,1.44,2291,1.1455,1.517893276880822,0.372393276880822,0.372393276880822,1.152,-161.565051177078,1,5.554883355593643,133.71952703428448
668674_777124_55_2,668674,"Erceg, Lucas",SL,Slider,2025,swinging_strike,2025-07-13 00:00:00,8,Top,0,1,0,84.4,2025,-1.86,5.99,6.5,-0.1,-0.05,-0.6000000000000001,-1.2000000000000002,0.6000000000000001,1.2000000000000002,2025,1.0125,1.341640786499874,0.3291407864998741,0.3291407864998741,0.7200000000000001,-153.434948822922,1,5.55416926429682,133.7120035420631
571578_776495_8_5,571578,"Corbin, Patrick",SL,Slider,2025,swinging_strike,2025-09-01 00:00:00,1,Bot,2,2,2,82.8,2328,2.83,6.11,6.8,-0.14,-0.02,-0.24,-1.6800000000000002,0.24,1.6800000000000002,2328,1.164,1.6970562748477143,0.5330562748477143,0.5330562748477143,1.7280000000000002,-171.86989764584405,1,5.554030498928614,133.7105415438943
657746_778144_38_1,657746,"Ryan, Joe",ST,Sweeper,2025,called_strike,2025-04-27 00:00:00,6,Top,1,0,0,78.9,2894,-2.67,4.76,6.8,2.1,-0.17,-2.04,25.200000000000003,2.04,25.200000000000003,2894,1.447,25.282436591436362,23.835436591436363,23.835436591436363,27.792000000000005,-4.62813753773235,1,5.553968491142069,133.70988824493682
650911_776141_23_1,650911,"Sánchez, Cristopher",SL,Slider,2025,called_strike,2025-09-28 00:00:00,4,Top,2,0,0,86.3,2004,1.93,5.9,6.9,-0.03,-0.06,-0.72,-0.36,0.72,0.36,2004,1.002,0.8049844718999243,-0.19701552810007572,0.19701552810007572,0.432,-116.56505117707799,1,5.552261985129648,133.69190891264785
663460_777551_9_1,663460,"Bubic, Kris",SL,Slider,2025,called_strike,2025-06-11 00:00:00,2,Top,0,0,0,85.4,2568,2.09,5.83,6.8,-0.03,-0.06,-0.72,-0.36,0.72,0.36,2568,1.284,0.8049844718999243,-0.47901552810007575,0.47901552810007575,0.432,-116.56505117707799,1,5.552236681787023,133.69164232278425
518585_777337_54_3,518585,"Cruz, Fernando",FS,Split-Finger,2025,called_strike,2025-06-27 00:00:00,7,Top,2,1,1,80.5,873,-2.11,6.16,7.2,-0.04,-0.05,-0.6000000000000001,-0.48,0.6000000000000001,0.48,873,0.4365,0.7683749084919419,0.3318749084919419,0.3318749084919419,0.14400000000000013,-128.6598082540901,1,5.550860033316857,133.67713828933222
676979_776627_27_2,676979,"Crochet, Garrett",FC,Cutter,2025,called_strike,2025-08-23 00:00:00,3,Bot,1,1,0,87.8,2555,2.16,6.27,6.6,-0.05,-0.07,-0.8400000000000001,-0.6000000000000001,0.8400000000000001,0.6000000000000001,2555,1.2775,1.0322790320451154,-0.24522096795488468,0.24522096795488468,0.288,-125.53767779197437,1,5.55074726661479,133.67595020678647
669302_776602_50_1,669302,"Gilbert, Logan",SL,Slider,2025,called_strike,2025-08-24 00:00:00,6,Top,1,0,0,85.6,1834,-0.54,5.97,7.6,-0.13,-0.02,-0.24,-1.56,0.24,1.56,1834,0.917,1.5783535725559086,0.6613535725559085,0.6613535725559085,1.584,-171.2538377374448,1,5.547517747146208,133.641924775152
689690_778998_40_4,689690,"Jacob, Alek",CH,Changeup,2025,swinging_strike,2025-03-20 00:00:00,6,Top,0,1,2,77.5,2363,-2.43,3.89,7.3,-1.86,-0.09,-1.08,-22.32,1.08,22.32,2363,1.1815,22.346113756087433,21.164613756087434,21.164613756087434,25.488000000000003,-177.2297842027998,1,5.541155756304725,133.57489638701512
571578_777159_32_1,571578,"Corbin, Patrick",SL,Slider,2025,called_strike,2025-07-10 00:00:00,3,Bot,0,0,0,79.6,2154,2.54,6.27,6.9,-0.14,-0.02,-0.24,-1.6800000000000002,0.24,1.6800000000000002,2154,1.077,1.6970562748477143,0.6200562748477143,0.6200562748477143,1.7280000000000002,-171.86989764584405,1,5.539200093652133,133.55429200096538
695445_777661_71_1,695445,"Lee, Chase",ST,Sweeper,2025,called_strike,2025-06-03 00:00:00,8,Bot,1,0,0,79.0,2893,-2.75,3.93,5.8,2.12,0.25,3.0,25.44,3.0,25.44,2893,1.4465000000000001,25.616276075963892,24.16977607596389,24.16977607596389,26.928,6.725517097325259,1,5.537245388074378,133.53369769842334
663559_777029_35_1,663559,"Falter, Bailey",CU,Curveball,2025,called_strike,2025-07-23 00:00:00,5,Top,1,0,0,79.1,1725,1.41,5.77,6.9,-0.11,-0.04,-0.48,-1.32,0.48,1.32,1725,0.8625,1.404563989286355,0.542063989286355,0.542063989286355,1.008,-160.01689347810003,1,5.536982262853679,133.53092547509561
656986_777336_67_7,656986,"Sousa, Bennett",SL,Slider,2025,swinging_strike,2025-06-27 00:00:00,8,Top,1,1,2,84.0,2325,1.09,6.41,6.7,-0.04,-0.07,-0.8400000000000001,-0.48,0.8400000000000001,0.48,2325,1.1625,0.967470929795826,-0.19502907020417404,0.19502907020417404,0.4320000000000001,-119.74488129694222,1,5.536940576968749,133.53048628275084
668674_777396_53_1,668674,"Erceg, Lucas",SL,Slider,2025,called_strike,2025-06-22 00:00:00,7,Bot,2,0,0,83.6,1908,-2.12,6.02,6.4,-0.05,-0.07,-0.8400000000000001,-0.6000000000000001,0.8400000000000001,0.6000000000000001,1908,0.9540000000000001,1.0322790320451154,0.07827903204511533,0.07827903204511533,0.288,-125.53767779197437,1,5.53689207847947,133.52997531446366
656986_776835_49_1,656986,"Sousa, Bennett",SL,Slider,2025,swinging_strike,2025-08-08 00:00:00,6,Bot,1,0,0,86.5,2123,1.26,6.36,6.5,-0.14,-0.02,-0.24,-1.6800000000000002,0.24,1.6800000000000002,2123,1.0615,1.6970562748477143,0.6355562748477142,0.6355562748477142,1.7280000000000002,-171.86989764584405,1,5.536558568363421,133.5264615329976
693821_776748_14_2,693821,"Elder, Bryce",SL,Slider,2025,swinging_strike,2025-08-14 00:00:00,2,Bot,1,0,1,83.9,2253,-1.24,6.44,6.1,0.0,-0.03,-0.36,0.0,0.36,0.0,2253,1.1265,0.36,-0.7665000000000001,0.7665000000000001,0.432,-90.0,1,5.535976173971324,133.52032556733292
668674_777297_66_1,668674,"Erceg, Lucas",SL,Slider,2025,swinging_strike,2025-06-30 00:00:00,8,Bot,1,0,0,85.3,2046,-1.92,5.95,6.5,-0.13,-0.03,-0.36,-1.56,0.36,1.56,2046,1.0230000000000001,1.60099968769516,0.5779996876951599,0.5779996876951599,1.4400000000000002,-167.0053832080835,1,5.534231913455531,133.50194846277907
642207_787945_71_3,642207,"Williams, Devin",CH,Changeup,2025,swinging_strike,2025-03-24 00:00:00,8,Bot,1,2,0,84.0,2706,-2.29,5.32,7.2,-1.87,-0.11,-1.32,-22.44,1.32,22.44,2706,1.353,22.47879000302285,21.12579000302285,21.12579000302285,25.344,-176.63353933657018,1,5.530132726259889,133.4587604234937
657240_778205_67_4,657240,"Merryweather, Julian",SL,Slider,2025,swinging_strike,2025-04-23 00:00:00,8,Top,1,1,2,85.5,2057,-1.53,6.29,6.2,-0.01,-0.05,-0.6000000000000001,-0.12,0.6000000000000001,0.12,2057,1.0285,0.6118823416311343,-0.41661765836886566,0.41661765836886566,0.5760000000000001,-101.30993247402021,1,5.529070726099359,133.44757144810293
682254_778493_72_2,682254,"Montgomery, Mason",SL,Slider,2025,called_strike,2025-04-01 00:00:00,9,Top,2,0,1,90.1,2489,1.79,5.76,6.6,-0.01,-0.05,-0.6000000000000001,-0.12,0.6000000000000001,0.12,2489,1.2445,0.6118823416311343,-0.6326176583688656,0.6326176583688656,0.5760000000000001,-101.30993247402021,1,5.529051346559624,133.4473672699858
656288_777638_33_4,656288,"Canning, Griffin",SL,Slider,2025,swinging_strike,2025-06-04 00:00:00,4,Bot,2,2,1,89.6,2678,-0.75,5.82,5.7,-0.01,-0.05,-0.6000000000000001,-0.12,0.6000000000000001,0.12,2678,1.339,0.6118823416311343,-0.7271176583688657,0.7271176583688657,0.5760000000000001,-101.30993247402021,1,5.5290428680112145,133.44727794206193
592094_778305_63_1,592094,"Adam, Jason",SL,Slider,2025,called_strike,2025-04-15 00:00:00,8,Top,1,0,0,83.5,2583,-0.88,6.52,6.5,-0.06,-0.08,-0.96,-0.72,0.96,0.72,2583,1.2915,1.2,-0.09150000000000014,0.09150000000000014,0.288,-126.86989764584402,1,5.528067154825368,133.43699806524964
664294_776517_62_1,664294,"Moreta, Dauri",SL,Slider,2025,called_strike,2025-08-31 00:00:00,7,Bot,2,0,0,82.4,2022,-1.18,5.76,6.2,-0.14,-0.02,-0.24,-1.6800000000000002,0.24,1.6800000000000002,2022,1.0110000000000001,1.6970562748477143,0.6860562748477141,0.6860562748477141,1.7280000000000002,-171.86989764584405,1,5.527953727824995,133.43580302596155
689690_778450_59_1,689690,"Jacob, Alek",CH,Changeup,2025,called_strike,2025-04-05 00:00:00,6,Bot,2,0,0,75.5,2168,-2.37,3.71,7.1,-1.92,-0.26,-3.12,-23.04,3.12,23.04,2168,1.084,23.25029032076804,22.16629032076804,22.16629032076804,23.903999999999996,-172.2881075873411,1,5.5274782027153755,133.43079300906422
676962_777626_26_5,676962,"Brown, Ben",KC,Knuckle Curve,2025,swinging_strike,2025-06-06 00:00:00,4,Bot,0,2,2,88.2,2076,-1.52,6.43,6.5,-0.03,-0.07,-0.8400000000000001,-0.36,0.8400000000000001,0.36,2076,1.038,0.9138927727036691,-0.12410722729633095,0.12410722729633095,0.5760000000000001,-113.19859051364818,1,5.519704057957727,133.3488865107319
676962_777482_40_3,676962,"Brown, Ben",KC,Knuckle Curve,2025,called_strike,2025-06-17 00:00:00,5,Top,2,2,0,88.0,2307,-1.7,6.42,6.6,-0.03,-0.07,-0.8400000000000001,-0.36,0.8400000000000001,0.36,2307,1.1535,0.9138927727036691,-0.23960722729633088,0.23960722729633088,0.5760000000000001,-113.19859051364818,1,5.5196936967102275,133.3487773471483
687931_776557_15_4,687931,"Whisenhunt, Carson",SL,Slider,2025,called_strike,2025-08-27 00:00:00,2,Top,2,1,2,82.8,2587,2.01,6.14,6.6,-0.03,-0.07,-0.8400000000000001,-0.36,0.8400000000000001,0.36,2587,1.2935,0.9138927727036691,-0.379607227296331,0.379607227296331,0.5760000000000001,-113.19859051364818,1,5.519681137622631,133.348645027656
656986_777567_54_1,656986,"Sousa, Bennett",SL,Slider,2025,called_strike,2025-06-10 00:00:00,7,Top,2,0,0,84.4,2324,1.17,6.48,6.5,-0.15,-0.02,-0.24,-1.7999999999999998,0.24,1.7999999999999998,2324,1.162,1.8159295140505864,0.6539295140505865,0.6539295140505865,1.8719999999999997,-172.40535663140858,1,5.517799090345683,133.32881623529929
702070_777799_40_1,702070,"Cameron, Noah",SL,Slider,2025,called_strike,2025-05-23 00:00:00,5,Bot,2,0,0,81.2,2439,1.66,6.45,6.2,-0.16,-0.01,-0.12,-1.92,0.12,1.92,2439,1.2195,1.9237463450257677,0.7042463450257677,0.7042463450257677,2.1599999999999997,-176.42366562500266,1,5.517687605898256,133.32764166227653
607074_776845_34_4,607074,"Rodón, Carlos",SL,Slider,2025,swinging_strike,2025-08-06 00:00:00,4,Bot,1,1,2,87.0,2623,2.48,6.2,6.1,-0.15,-0.03,-0.36,-1.7999999999999998,0.36,1.7999999999999998,2623,1.3115,1.8356470248934023,0.5241470248934021,0.5241470248934021,1.728,-168.6900675259798,1,5.514793337546061,133.29714835486428
671131_777398_73_5,671131,"Rutledge, Jackson",SL,Slider,2025,swinging_strike,2025-06-22 00:00:00,8,Bot,1,1,2,84.8,2136,-2.22,5.89,6.1,0.0,-0.04,-0.48,0.0,0.48,0.0,2136,1.068,0.48,-0.5880000000000001,0.5880000000000001,0.576,-90.0,1,5.514642919693579,133.2955635889553
543859_776567_76_1,543859,"Tonkin, Michael",SL,Slider,2025,called_strike,2025-08-27 00:00:00,8,Bot,1,0,0,84.2,2248,-3.36,5.35,5.8,0.0,-0.04,-0.48,0.0,0.48,0.0,2248,1.124,0.48,-0.6440000000000001,0.6440000000000001,0.576,-90.0,1,5.514637896723938,133.29551066816884
571578_776575_44_2,571578,"Corbin, Patrick",SL,Slider,2025,called_strike,2025-08-26 00:00:00,6,Top,2,0,1,81.5,2261,2.73,6.21,6.6,0.0,-0.04,-0.48,0.0,0.48,0.0,2261,1.1305,0.48,-0.6505000000000001,0.6505000000000001,0.576,-90.0,1,5.514637313700679,133.2955045255776
592094_778352_50_1,592094,"Adam, Jason",SL,Slider,2025,called_strike,2025-04-12 00:00:00,8,Top,0,0,0,84.5,2482,-1.17,6.34,6.6,0.0,-0.04,-0.48,0.0,0.48,0.0,2482,1.241,0.48,-0.7610000000000001,0.7610000000000001,0.576,-90.0,1,5.514627402305391,133.2954001015275
680729_778121_68_1,680729,"McDaniels, Garrett",SL,Slider,2025,called_strike,2025-04-29 00:00:00,8,Bot,2,0,0,85.9,2572,1.74,6.04,5.5,0.0,-0.04,-0.48,0.0,0.48,0.0,2572,1.286,0.48,-0.806,0.806,0.576,-90.0,1,5.514623365990623,133.29535757589682
571760_777299_3_5,571760,"Heaney, Andrew",SI,Sinker,2025,swinging_strike,2025-06-30 00:00:00,1,Top,2,2,2,89.9,2336,3.27,3.79,6.4,2.06,-0.06,-0.72,24.72,0.72,24.72,2336,1.168,24.730483214041737,23.562483214041738,23.562483214041738,28.799999999999997,-1.6683374482933075,1,5.513579214086741,133.28435664539705
605135_778446_42_5,605135,"Bassitt, Chris",SI,Sinker,2025,swinging_strike,2025-04-05 00:00:00,5,Bot,2,2,2,89.8,2066,-2.55,5.55,6.2,-1.84,-0.07,-0.8400000000000001,-22.080000000000002,0.8400000000000001,22.080000000000002,2066,1.033,22.09597248369033,21.062972483690327,21.062972483690327,25.488000000000003,-177.8213199247234,1,5.51130135634753,133.26035769027925
663738_777378_59_1,663738,"Lynch IV, Daniel",KC,Knuckle Curve,2025,called_strike,2025-06-24 00:00:00,8,Top,2,0,0,83.0,2266,1.48,6.04,6.3,-0.07,-0.08,-0.96,-0.8400000000000001,0.96,0.8400000000000001,2266,1.133,1.275617497528158,0.142617497528158,0.142617497528158,0.14399999999999985,-131.18592516570965,1,5.510287578252952,133.24967677084678
664076_776580_63_3,664076,"Cleavinger, Garrett",ST,Sweeper,2025,swinging_strike,2025-08-27 00:00:00,8,Bot,2,0,2,80.7,2924,1.19,4.83,6.5,-1.9,-0.19,-2.2800000000000002,-22.799999999999997,2.2800000000000002,22.799999999999997,2924,1.462,22.913716416155626,21.451716416155627,21.451716416155627,24.623999999999995,-174.28940686250036,1,5.509991803031148,133.24656055504855
607074_776383_34_1,607074,"Rodón, Carlos",SL,Slider,2025,called_strike,2025-09-10 00:00:00,5,Top,2,0,0,87.8,2602,2.7,6.18,5.5,-0.16,-0.02,-0.24,-1.92,0.24,1.92,2602,1.301,1.9349418595916519,0.633941859591652,0.633941859591652,2.016,-172.8749836510982,1,5.505362820884079,133.1977907250121
668674_777109_73_1,668674,"Erceg, Lucas",SL,Slider,2025,called_strike,2025-07-18 00:00:00,9,Bot,1,0,0,85.0,2083,-1.77,5.89,6.3,-0.09,-0.07,-0.8400000000000001,-1.08,0.8400000000000001,1.08,2083,1.0415,1.3682105101189657,0.32671051011896557,0.32671051011896557,0.288,-142.12501634890182,1,5.504961900910264,133.1935667296801
